SampleID	Date_taken	treatment	rep_number	LBCEQ	pH	BS	CEC	Ca	K	Mg	P	Zn	Amon	Nit	TOC	N	SS	Label
GA18-18S-600	2018-05-21	CerealRye	2	861	6.02	69.2	5.48	602	102.2	59.9	15.8	4.56	2.77	24.1	0.457	0.107	0.14	CR-2-E
GA18-19S-600	2018-05-21	CerealRye	3	908	6.12	74.6	6.29	749	124.2	72.6	16.48	4.98	3.5	20.72	0.504	0.111	0.2	CR-3-E
GA18-28S-600	2018-05-21	CerealRye	1	876	6.5	85.4	5.99	857	83.4	70.8	12.89	3.58	1.42	22.71	0.563	0.11	0.14	CR-1-E
GA18-20S-600	2018-05-21	CrimsonClover	2	890	6.64	90.1	6.51	991	91	77.4	14.2	4.31	3.49	19.27	0.554	0.113	0.13	CC-2-E
GA18-22S-600	2018-05-21	CrimsonClover	1	908	6.12	73.2	5.96	711	101.9	62.3	18.23	4.62	2.31	20.44	0.499	0.119	0.13	CC-1-E
GA18-29S-600	2018-05-21	CrimsonClover	3	1006	6.54	87.7	7.51	1108	96.2	91.5	25.44	4.24	1.57	12.97	0.595	0.11	0.1	CC-3-E
GA18-21S-600	2018-05-21	LivingMulch	2	1006	6.84	95.9	7.78	1267	98.3	100.8	21.34	3.71	16.86	24.24	0.688	0.117	0.15	LM-2-E
GA18-24S-600	2018-05-21	LivingMulch	3	899	6.92	98.1	7.45	1222	119.9	103.5	18.74	4.68	1.9	9.11	0.745	0.133	0.11	LM-3-E
GA18-25S-600	2018-05-21	LivingMulch	1	1021	6.8	94.1	6.88	1069	115.4	97.1	16.86	3.45	3	25.12	0.674	0.136	0.16	LM-1-E
GA18-23S-600	2018-05-21	NoCover	2	948	6.51	85.71	6.5	933	91.26	78.16	15.63	2.6	0.35	19.86	0.567	0.094	0.13	NC-2-E
GA18-26S-600	2018-05-21	NoCover	3	1006	6.21	74.61	6.26	785	82.02	61.44	15.48	2.66	0.32	14.69	0.547	0.062	0.1	NC-3-E
GA18-27S-600	2018-05-21	NoCover	1	1070	5.88	63.83	6.63	709	81.13	54.64	15.65	2.7	0.46	22.07	0.635	0.071	0.12	NC-1-E
GA18-18S-LM1400	2018-06-28	CerealRye	2	829	6.96	99	6.58	1120	72.9	84.2	17.11	4.76	9.97	13.02	0.551	0.113	0.07	CR-2-M
GA18-19S-LM1400	2018-06-28	CerealRye	3	925	6.32	81.5	6.8	922	69.3	88.2	13.06	3.88	3.89	3.9	0.732	0.131	0.07	CR-3-M
GA18-28S-LM1400	2018-06-28	CerealRye	1	908	6.06	69	5.51	622	94	52.3	14.3	5.41	3.64	7.18	0.611	0.116	0.07	CR-1-M
GA18-20S-LM1400	2018-06-28	CrimsonClover	2	893	6.98	99.5	6.83	1182	58.6	85	15.43	4.47	3.9	8.22	0.622	0.118	0.08	CC-2-M
GA18-22S-LM1400	2018-06-28	CrimsonClover	1	835	6.15	75.6	5.81	735	77.1	59.1	11.78	4.31	3.06	6.28	0.53	0.111	0.06	CC-1-M
GA18-29S-LM1400	2018-06-28	CrimsonClover	3	902	6.65	91.1	7.09	1099	82.8	84.4	26.61	3.76	1.73	4.02	0.652	0.117	0.07	CC-3-M
GA18-21S-LM1400	2018-06-28	LivingMulch	2	850	7.15	100	7.87	1363	94.8	95	22.42	4.48	5.66	7.49	0.577	0.119	0.09	LM-2-M
GA18-24S-LM1400	2018-06-28	LivingMulch	3	977	6.24	77.9	6.71	876	69.6	76.7	23.52	4.1	9.73	5.24	0.738	0.135	0.09	LM-3-M
GA18-25S-LM1400	2018-06-28	LivingMulch	1	893	5.89	64.2	5.55	580	99.8	46	17.6	4.71	3.56	5.15	0.614	0.107	0.07	LM-1-M
GA18-23S-LM1400	2018-06-28	NoCover	2	1102	5.94	64.22	6.53	709	71.39	53.43	17.48	3	0.33	4.32	0.601	0.092	0.06	NC-2-M
GA18-26S-LM1400	2018-06-28	NoCover	3	1064	6.01	64.97	6.02	655	58.92	55	10.34	2.17	0.32	3.09	0.536	0.076	0.06	NC-3-M
GA18-27S-LM1400	2018-06-28	NoCover	1	1088	6.42	82.62	7.26	1032	73.69	74.25	24.01	3.5	0.34	12.27	0.656	0.074	0.1	NC-1-M
GA18-18S-AH	2018-08-31	CerealRye	2	867	5.9	64	5.29	549	79.1	49.1	14.79	5.11	3.18	4.72	0.463	0.1	0.06	CR-2-L
GA18-19S-AH	2018-08-31	CerealRye	3	957	5.83	62.1	5.91	602	83.9	49.8	14.42	5.06	0.88	3.93	0.528	0.094	0.07	CR-3-L
GA18-28S-AH	2018-08-31	CerealRye	1	885	6.83	95	6.01	1000	42.5	68.8	13.87	2.74	1.54	4.73	0.589	0.104	0.07	CR-1-L
GA18-20S-AH	2018-08-31	CrimsonClover	2	841	6.82	95.5	6.7	1123	38.2	79.1	16.06	3.72	0.79	5.6	0.683	0.105	0.07	CC-2-L
GA18-22S-AH	2018-08-31	CrimsonClover	1	908	6.06	70.4	5.76	686	52.4	55.2	13.86	5.96	3.37	6.14	0.593	0.118	0.06	CC-1-L
GA18-29S-AH	2018-08-31	CrimsonClover	3	922	6.88	96.9	7.2	1215	50.1	90.5	19.31	4.19	0.49	4.25	0.715	0.126	0.07	CC-3-L
GA18-21S-AH	2018-08-31	LivingMulch	2	948	6.8	94.5	6.84	1104	67.3	88.5	16.02	3.58	2.13	7.59	0.656	0.116	0.08	LM-2-L
GA18-24S-AH	2018-08-31	LivingMulch	3	940	7.12	100	7.51	1287	82.4	100.5	16.72	5.03	1.92	4.92	0.675	0.123	0.08	LM-3-L
GA18-25S-AH	2018-08-31	LivingMulch	1	928	6.65	90	6.49	969	77.6	91.8	12.12	3.79	2.94	9.39	0.633	0.123	0.08	LM-1-L
GA18-23S-AH	2018-08-31	NoCover	2	963	6.27	76.04	5.87	761	47.71	61.06	10.41	2.55	0.19	5.22	0.575	0.075	0.05	NC-2-L
GA18-26S-AH	2018-08-31	NoCover	3	969	6.42	82.93	6.58	932	55.34	75.18	13.64	3.04	0.24	4.27	0.569	0.084	0.07	NC-3-L
GA18-27S-AH	2018-08-31	NoCover	1	1064	6.03	68.12	6.48	758	50.37	55.63	15.31	3.01	0.2	6.92	0.592	0.065	0.09	NC-1-L
